id,text,total
989515533157523456,"???????????? ?? ?? ??????? 
\"?????\" ?? ??? ?? ?? ???? ???? ?? ??????? ?? \"????\" ?? ??? ?? ????? ??? ?? ?? ???! 
#JusticeForGeeta
#SRHvKXIP",100
989531466097836032,"Hyderabad
Look who's in the stands to support #OrangeArmy ??????
#SRHvKXIP https://t.co/7YKeUW5ob7",61
989515162456539136,"#SRHvKXIP #ContestAlert The funnhas begin,  win vouchers and a Lloyd AC visit https://t.co/2WlHJTvwlQ now and #KhushiyanOnKaro",44
989533052354392064,Funny fixing is on ?????... batting team doesn't want to score and fielding team doesn't want them to get out. #SRHvKXIP,39
989518529278996480,Catches do win matches. Brilliant performance team. @lionsdenkxip #LivePunjabiPlayPunjabi #RedForever #SRHvKXIPâ€¦ https://t.co/GRSw8HKGTz,30
